city_id,Hotel_name,Mobile,landline,Email,Contact Person ,Emergency Contact  No,Hotel address,Statecountry_id,Website,Bank Name,Account Type,Account No,Branch,IFSCswift Code,TaxNo,Personal Identification NoPIN,Hotel Category,Child Without Bed From Age,Child Without Bed To Age,Child With Bed From Age,Child With Bed To  Age,Hotel Type,Hotel Description,Opening Balance,Balance Side
1961,Sun Rise Restaurant,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744130,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Ms Emerald Gecko Andaman Resort Pvt Ltd,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744131,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Munjo Resort,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744132,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Radha Krishna Resort,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744133,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Big Bite Restaurant,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744134,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,U & I Resort Pvt Ltd,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744135,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Havelock Island Beach Resort Pvt Ltd,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744136,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Ms Hotel The Kingdom,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744137,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Virgin Beach Resort,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744138,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Ms Cross Bill Beach Resort,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744139,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Ms Dreamland Resort,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744140,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Full Moon Caf LLP,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744141,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Ms Green Chilly Restaurant,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744142,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Jafar Mambada Kerala Caf,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744143,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,White Coral Beach Resort,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744144,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Coral Reef Resort,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744145,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Ms Silver Sand Village Resort,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744146,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Hotel Royal Palace,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744147,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Shri Mani Ram Ms Blue Sea Bar and Restaurant,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744148,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Mrinal Dutta & Tarun Kumar Dutta Ms The Green Leaves Pure Veg Restaurant,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744149,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Shri Prasenjit Mandal Ms Famous Sea Food Restaurant,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744150,3,,,,,,,,,3 star,2,4,5,11,,,,
